formattedAddress,addressLine1,city,state,zipCode,price,lastSeen,createdDate,rawAddress,county,propertyType,listedDate,status,removedDate,daysOnMarket,id,latitude,longitude,bathrooms,bedrooms,addressLine2,squareFootage,yearBuilt,lotSize
"5254 S Dorchester Ave, Apt 217, Chicago, IL 60615",5254 S Dorchester Ave,Chicago,IL,60615,1372,2022-10-01T03:21:45.750Z,2022-08-11T02:04:31.637Z,,Cook County,Apartment,2022-09-08T22:02:47.000Z,Inactive,2022-10-08T03:40:05.257Z,30,"5254-S-Dorchester-Ave,-Apt-217,-Chicago,-IL-60615",41.799842,-87.592058,1,1,Apt 217,525,,
"5200 S Blackstone Ave, Chicago, IL 60615",5200 S Blackstone Ave,Chicago,IL,60615,1600,2022-09-30T03:29:57.105Z,2020-04-02T19:00:08.854Z,,Cook County,Apartment,2022-07-05T20:25:13.000Z,Inactive,2022-10-07T03:42:46.980Z,94,"5200-S-Blackstone-Ave,-Chicago,-IL-60615",41.80076,-87.591016,1,2,,,1929,
"5254 S Dorchester Ave, Apt 617, Chicago, IL 60615",5254 S Dorchester Ave,Chicago,IL,60615,1282,2022-09-22T03:08:19.156Z,2022-09-17T02:35:20.015Z,,Cook County,Apartment,2022-09-16T09:03:47.000Z,Inactive,2022-09-29T03:30:27.500Z,13,"5254-S-Dorchester-Ave,-Apt-617,-Chicago,-IL-60615",41.799842,-87.592058,1,1,Apt 617,525,,
"5254 S Dorchester Ave, Apt 114, Chicago, IL 60615",5254 S Dorchester Ave,Chicago,IL,60615,1013,2022-09-19T02:51:00.359Z,2022-05-22T03:29:48.602Z,,Cook County,Apartment,2022-09-14T22:02:50.000Z,Inactive,2022-09-26T03:26:06.716Z,12,"5254-S-Dorchester-Ave,-Apt-114,-Chicago,-IL-60615",41.799842,-87.592058,1,1,Apt 114,390,,
"5136 S Harper, Unit 1C, Chicago, IL 60615",5136 S Harper,Chicago,IL,60615,1625,2022-09-19T01:40:50.128Z,2022-09-18T02:40:25.911Z,,Cook County,Apartment,2022-09-18T22:00:21.000Z,Inactive,2022-09-26T03:26:06.716Z,8,"5136-S-Harper,-Unit-1C,-Chicago,-IL-60615",41.80127,-87.589142,1,1,Unit 1C,,,
"5254 S Dorchester Ave, Apt 314, Chicago, IL 60615",5254 S Dorchester Ave,Chicago,IL,60615,1113,2022-09-16T03:03:53.622Z,2022-07-21T03:26:52.279Z,,Cook County,Apartment,2022-09-08T22:02:47.000Z,Inactive,2022-09-23T03:29:54.077Z,15,"5254-S-Dorchester-Ave,-Apt-314,-Chicago,-IL-60615",41.799842,-87.592058,1,1,Apt 314,390,,
"5107 S Blackstone Ave, Chicago, IL 60615",5107 S Blackstone Ave,Chicago,IL,60615,1080,2022-09-12T03:25:50.318Z,2019-11-07T10:05:52.112Z,,Cook County,Apartment,2022-07-08T20:25:15.000Z,Inactive,2022-09-19T03:28:21.851Z,73,"5107-S-Blackstone-Ave,-Chicago,-IL-60615",41.80192,-87.590096,,,,,1920,
"5135 S Blackstone Ave, Apt 309, Chicago, IL 60615",5135 S Blackstone Ave,Chicago,IL,60615,1308,2022-09-10T02:57:08.816Z,2022-04-13T03:34:12.828Z,,Cook County,Apartment,2022-09-08T22:02:47.000Z,Inactive,2022-09-17T03:28:12.281Z,9,"5135-S-Blackstone-Ave,-Apt-309,-Chicago,-IL-60615",41.801352,-87.590083,1,,Apt 309,310,,
"5200 S Blackstone Ave, Apt 504, Chicago, IL 60615",5200 S Blackstone Ave,Chicago,IL,60615,1725,2022-09-10T02:50:50.448Z,2022-06-23T03:13:50.093Z,,Cook County,Apartment,2022-09-09T22:02:24.000Z,Inactive,2022-09-17T03:28:12.281Z,8,"5200-S-Blackstone-Ave,-Apt-504,-Chicago,-IL-60615",41.800762,-87.590866,1,2,Apt 504,700,,
"5213-15 S Dorchester Ave, Chicago, IL 60615",5213-15 S Dorchester Ave,Chicago,IL,60615,2700,2022-09-08T03:24:02.108Z,2020-04-30T07:18:41.562Z,,Cook County,Single Family,2022-03-18T00:00:28.000Z,Inactive,2022-09-15T03:28:22.874Z,182,"5213-15-S-Dorchester-Ave,-Chicago,-IL-60615",41.80054,-87.591399,2,4,,,,
"5215 S Dorchester Ave, Apt 3S, Chicago, IL 60615",5215 S Dorchester Ave,Chicago,IL,60615,2900,2022-09-08T03:23:29.817Z,2022-05-08T03:52:44.331Z,,Cook County,Apartment,2022-05-04T16:10:40.000Z,Inactive,2022-09-15T03:28:22.874Z,134,"5215-S-Dorchester-Ave,-Apt-3S,-Chicago,-IL-60615",41.800525,-87.591605,2,4,Apt 3S,1700,,1875
"5135 S Blackstone Ave, Chicago, IL 60615",5135 S Blackstone Ave,Chicago,IL,60615,1065,2022-09-07T03:23:45.812Z,2019-11-07T10:07:15.125Z,,Cook County,Apartment,2021-09-16T23:39:33.000Z,Inactive,2022-09-14T03:28:09.920Z,363,"5135-S-Blackstone-Ave,-Chicago,-IL-60615",41.801352,-87.590083,1,,,,1930,
"5254 S Dorchester Ave, Apt 507, Chicago, IL 60615",5254 S Dorchester Ave,Chicago,IL,60615,795,2022-09-06T03:01:44.630Z,2022-09-02T02:23:08.497Z,,Cook County,Apartment,2022-09-01T08:22:28.000Z,Inactive,2022-09-13T03:27:54.013Z,12,"5254-S-Dorchester-Ave,-Apt-507,-Chicago,-IL-60615",41.799842,-87.592058,1,,Apt 507,345,,
"5254 S Dorchester Ave, Apt 208, Chicago, IL 60615",5254 S Dorchester Ave,Chicago,IL,60615,767,2022-09-04T02:59:53.611Z,2022-08-26T00:32:53.963Z,,Cook County,Apartment,2022-08-25T21:15:02.000Z,Inactive,2022-09-11T03:27:22.425Z,17,"5254-S-Dorchester-Ave,-Apt-208,-Chicago,-IL-60615",41.799842,-87.592058,1,,Apt 208,275,,
"5254 S Dorchester Ave, Apt 509, Chicago, IL 60615",5254 S Dorchester Ave,Chicago,IL,60615,1147,2022-09-04T02:38:39.530Z,2022-08-26T00:52:14.844Z,,Cook County,Apartment,2022-09-01T08:22:28.000Z,Inactive,2022-09-11T03:27:22.425Z,10,"5254-S-Dorchester-Ave,-Apt-509,-Chicago,-IL-60615",41.799842,-87.592058,1,1,Apt 509,500,,
"5254 S Dorchester Ave, Apt 603, Chicago, IL 60615",5254 S Dorchester Ave,Chicago,IL,60615,1101,2022-08-25T03:10:30.989Z,2022-08-05T08:22:51.377Z,,Cook County,Apartment,2022-08-09T08:19:21.000Z,Inactive,2022-09-01T03:25:01.284Z,23,"5254-S-Dorchester-Ave,-Apt-603,-Chicago,-IL-60615",41.799842,-87.592058,1,1,Apt 603,465,,
"5254 S Dorchester Ave, Apt 708, Chicago, IL 60615",5254 S Dorchester Ave,Chicago,IL,60615,792,2022-08-22T03:16:51.180Z,2022-07-18T03:30:37.228Z,,Cook County,Apartment,2022-07-25T08:18:35.000Z,Inactive,2022-08-29T03:23:42.163Z,35,"5254-S-Dorchester-Ave,-Apt-708,-Chicago,-IL-60615",41.799842,-87.592058,1,,Apt 708,275,,
"5135 S Blackstone Ave, Apt 303, Chicago, IL 60615",5135 S Blackstone Ave,Chicago,IL,60615,1167,2022-08-22T03:16:08.827Z,2022-02-23T03:18:46.635Z,,Cook County,Apartment,2022-07-25T08:18:35.000Z,Inactive,2022-08-29T03:23:42.163Z,35,"5135-S-Blackstone-Ave,-Apt-303,-Chicago,-IL-60615",41.801351,-87.590083,1,,Apt 303,320,,
"5254 S Dorchester Ave, Apt 505, Chicago, IL 60615",5254 S Dorchester Ave,Chicago,IL,60615,1128,2022-08-22T02:48:57.762Z,2022-08-11T02:05:15.822Z,,Cook County,Apartment,2022-08-17T08:20:33.000Z,Inactive,2022-08-29T03:23:42.163Z,12,"5254-S-Dorchester-Ave,-Apt-505,-Chicago,-IL-60615",41.799842,-87.592058,1,1,Apt 505,555,,
"5200 S Blackstone Ave, Apt 1101, Chicago, IL 60615",5200 S Blackstone Ave,Chicago,IL,60615,1820,2022-08-17T03:18:04.492Z,2022-06-02T03:30:19.612Z,,Cook County,Apartment,2022-07-14T08:51:44.000Z,Inactive,2022-08-24T03:25:00.208Z,41,"5200-S-Blackstone-Ave,-Apt-1101,-Chicago,-IL-60615",41.800762,-87.590866,1,2,Apt 1101,650,,
"5254 S Dorchester Ave, Apt 412, Chicago, IL 60615",5254 S Dorchester Ave,Chicago,IL,60615,859,2022-08-15T03:18:56.335Z,2022-02-25T01:57:03.424Z,,Cook County,Apartment,2022-07-10T21:17:48.000Z,Inactive,2022-08-22T03:23:12.592Z,43,"5254-S-Dorchester-Ave,-Apt-412,-Chicago,-IL-60615",41.799841,-87.592057,1,,Apt 412,315,,
"5100 S Cornell Ave, Apt 403, Chicago, IL 60615",5100 S Cornell Ave,Chicago,IL,60615,1323,2022-11-16T03:44:30.714Z,2022-10-02T01:34:05.634Z,,Cook County,Apartment,2022-10-01T22:02:26.000Z,Active,,46,"5100-S-Cornell-Ave,-Apt-403,-Chicago,-IL-60615",41.802179,-87.586769,1,,Apt 403,425,,
"5120 S Harper Ave, Apt C1, Chicago, IL 60615",5120 S Harper Ave,Chicago,IL,60615,1395,2022-11-16T03:43:10.938Z,2022-10-08T02:55:20.673Z,,Cook County,Apartment,2022-10-07T09:03:45.000Z,Active,,40,"5120-S-Harper-Ave,-Apt-C1,-Chicago,-IL-60615",41.801617,-87.589535,1,1,Apt C1,,,
"5120 S Harper Ave, Apt C15, Chicago, IL 60615",5120 S Harper Ave,Chicago,IL,60615,995,2022-11-16T03:43:10.937Z,2022-10-08T02:55:20.669Z,,Cook County,Apartment,2022-10-07T09:03:45.000Z,Active,,40,"5120-S-Harper-Ave,-Apt-C15,-Chicago,-IL-60615",41.801617,-87.589535,1,,Apt C15,,,
"5100 S Cornell Ave, Apt 705, Chicago, IL 60615",5100 S Cornell Ave,Chicago,IL,60615,1314,2022-11-16T03:32:41.060Z,2022-10-24T02:40:39.480Z,,Cook County,Apartment,2022-10-23T09:03:18.000Z,Active,,24,"5100-S-Cornell-Ave,-Apt-705,-Chicago,-IL-60615",41.802179,-87.586769,1,,Apt 705,,,
"5100 S Cornell Ave, Apt 204, Chicago, IL 60615",5100 S Cornell Ave,Chicago,IL,60615,1330,2022-11-16T03:01:22.523Z,2022-07-13T03:42:03.757Z,,Cook County,Apartment,2022-11-09T09:02:32.000Z,Active,,7,"5100-S-Cornell-Ave,-Apt-204,-Chicago,-IL-60615",41.802179,-87.586769,1,,Apt 204,535,,
"5135 S Blackstone Ave, Apt 302, Chicago, IL 60615",5135 S Blackstone Ave,Chicago,IL,60615,1550,2022-11-13T03:43:37.195Z,2022-02-23T03:11:52.846Z,,Cook County,Apartment,2022-10-03T21:56:05.000Z,Active,,41,"5135-S-Blackstone-Ave,-Apt-302,-Chicago,-IL-60615",41.801351,-87.590083,1,,Apt 302,325,,
"5135 S Blackstone Ave, Apt 200, Chicago, IL 60615",5135 S Blackstone Ave,Chicago,IL,60615,1696,2022-11-10T03:36:33.432Z,2022-05-28T03:35:03.940Z,,Cook County,Apartment,2022-10-26T09:03:28.000Z,Active,,15,"5135-S-Blackstone-Ave,-Apt-200,-Chicago,-IL-60615",41.801352,-87.590083,1,1,Apt 200,485,,
"5135 S Blackstone Ave, Apt 403, Chicago, IL 60615",5135 S Blackstone Ave,Chicago,IL,60615,1494,2022-11-07T03:37:30.656Z,2022-09-05T02:59:46.637Z,,Cook County,Apartment,2022-10-18T22:02:27.000Z,Inactive,2022-11-14T03:46:37.066Z,27,"5135-S-Blackstone-Ave,-Apt-403,-Chicago,-IL-60615",41.801352,-87.590083,1,,Apt 403,320,,
"5135 S Blackstone Ave, Apt 207, Chicago, IL 60615",5135 S Blackstone Ave,Chicago,IL,60615,1376,2022-11-03T03:04:16.886Z,2022-08-07T02:48:41.424Z,,Cook County,Apartment,2022-10-27T09:03:16.000Z,Inactive,2022-11-10T03:48:05.304Z,14,"5135-S-Blackstone-Ave,-Apt-207,-Chicago,-IL-60615",41.801352,-87.590083,1,,Apt 207,310,,
"5100 S Cornell Ave, Apt 807, Chicago, IL 60615",5100 S Cornell Ave,Chicago,IL,60615,1161,2022-10-26T03:40:52.487Z,2022-09-11T02:38:40.316Z,,Cook County,Apartment,2022-09-10T09:04:04.000Z,Inactive,2022-11-02T03:43:37.733Z,53,"5100-S-Cornell-Ave,-Apt-807,-Chicago,-IL-60615",41.802179,-87.586769,1,1,Apt 807,600,,
"5135 S Blackstone Ave, Apt 407, Chicago, IL 60615",5135 S Blackstone Ave,Chicago,IL,60615,1182,2022-10-16T03:38:48.144Z,2022-04-07T03:56:55.049Z,,Cook County,Apartment,2022-09-08T22:02:47.000Z,Inactive,2022-10-23T03:43:58.926Z,45,"5135-S-Blackstone-Ave,-Apt-407,-Chicago,-IL-60615",41.801352,-87.590083,1,,Apt 407,310,,
"5135 S Blackstone Ave, Apt 104, Chicago, IL 60615",5135 S Blackstone Ave,Chicago,IL,60615,1255,2022-10-13T03:08:12.168Z,2022-07-16T03:37:21.707Z,,Cook County,Apartment,2022-10-07T22:02:38.000Z,Inactive,2022-10-21T03:43:23.990Z,14,"5135-S-Blackstone-Ave,-Apt-104,-Chicago,-IL-60615",41.801352,-87.590083,1,,Apt 104,300,,
"5136 S Harper, Unit 3E, Chicago, IL 60615",5136 S Harper,Chicago,IL,60615,1445,2022-10-11T03:38:07.960Z,2022-09-24T02:39:49.806Z,,Cook County,Apartment,2022-09-25T21:52:47.000Z,Inactive,2022-10-18T03:42:27.935Z,23,"5136-S-Harper,-Unit-3E,-Chicago,-IL-60615",41.80127,-87.589142,1,1,Unit 3E,,,
"5120 S Harper Ave, Apt C4, Chicago, IL 60615",5120 S Harper Ave,Chicago,IL,60615,1395,2022-10-08T03:39:58.150Z,2022-09-07T02:24:22.037Z,,Cook County,Single Family,2022-09-06T14:31:47.000Z,Inactive,2022-10-15T03:42:23.739Z,39,"5120-S-Harper-Ave,-Apt-C4,-Chicago,-IL-60615",41.801617,-87.589535,1,1,Apt C4,800,,
"5120 S Harper Ave, Apt A8, Chicago, IL 60615",5120 S Harper Ave,Chicago,IL,60615,995,2022-10-08T03:39:58.129Z,2022-09-07T02:07:03.066Z,,Cook County,Apartment,2022-09-06T20:07:56.000Z,Inactive,2022-10-15T03:42:23.739Z,39,"5120-S-Harper-Ave,-Apt-A8,-Chicago,-IL-60615",41.801617,-87.589535,1,,Apt A8,500,,
"5202 S Cornell Ave, Apt 2B, Chicago, IL 60615",5202 S Cornell Ave,Chicago,IL,60615,1350,2022-10-08T03:39:06.546Z,2022-09-16T00:59:41.336Z,,Cook County,Apartment,2022-09-17T21:59:45.000Z,Inactive,2022-10-15T03:42:23.739Z,28,"5202-S-Cornell-Ave,-Apt-2B,-Chicago,-IL-60615",41.800856,-87.586367,1,1,Apt 2B,,,
"5252 S Cornell Ave, Chicago, IL 60615",5252 S Cornell Ave,Chicago,IL,60615,2300,2022-09-30T03:29:57.108Z,2019-11-07T10:05:47.775Z,,Cook County,Apartment,2022-07-05T20:25:13.000Z,Inactive,2022-10-07T03:42:46.980Z,94,"5252-S-Cornell-Ave,-Chicago,-IL-60615",41.79984,-87.58624,1,2,,,2019,
"5100 S Cornell Ave, Apt 602, Chicago, IL 60615",5100 S Cornell Ave,Chicago,IL,60615,1159,2022-09-25T03:03:58.623Z,2022-09-17T00:34:44.157Z,,Cook County,Apartment,2022-09-16T09:03:47.000Z,Inactive,2022-10-02T03:30:36.558Z,16,"5100-S-Cornell-Ave,-Apt-602,-Chicago,-IL-60615",41.802179,-87.586769,1,1,Apt 602,650,,
"5100 S Cornell Ave, Apt 507, Chicago, IL 60615",5100 S Cornell Ave,Chicago,IL,60615,1130,2022-09-25T02:42:56.341Z,2022-09-23T02:03:24.610Z,,Cook County,Apartment,2022-09-22T09:03:16.000Z,Inactive,2022-10-02T03:30:36.558Z,10,"5100-S-Cornell-Ave,-Apt-507,-Chicago,-IL-60615",41.802179,-87.586769,1,1,Apt 507,600,,
"5100 S Cornell Ave, Apt 1307, Chicago, IL 60615",5100 S Cornell Ave,Chicago,IL,60615,1111,2022-09-19T02:41:22.068Z,2022-09-17T02:50:18.085Z,,Cook County,Apartment,2022-09-16T09:03:47.000Z,Inactive,2022-09-26T03:26:06.716Z,10,"5100-S-Cornell-Ave,-Apt-1307,-Chicago,-IL-60615",41.802179,-87.586769,1,1,Apt 1307,600,,
"5136 S Harper, Unit 1C, Chicago, IL 60615",5136 S Harper,Chicago,IL,60615,1625,2022-09-19T01:40:50.128Z,2022-09-18T02:40:25.911Z,,Cook County,Apartment,2022-09-18T22:00:21.000Z,Inactive,2022-09-26T03:26:06.716Z,8,"5136-S-Harper,-Unit-1C,-Chicago,-IL-60615",41.80127,-87.589142,1,1,Unit 1C,,,
"1523 E 53rd St, Unit 2W, Chicago, IL 60615",1523 E 53rd St,Chicago,IL,60615,2300,2022-09-18T02:53:45.290Z,2022-09-14T02:48:10.575Z,,Cook County,Apartment,2022-09-13T03:03:19.000Z,Inactive,2022-09-25T03:29:40.196Z,13,"1523-E-53rd-St,-Unit-2W,-Chicago,-IL-60615",41.799336,-87.588212,1.5,3,Unit 2W,1600,,
"5100 S Cornell Ave, Apt 704, Chicago, IL 60615",5100 S Cornell Ave,Chicago,IL,60615,1030,2022-09-15T03:26:50.897Z,2022-05-25T03:26:59.478Z,,Cook County,Apartment,2022-06-05T08:26:26.000Z,Inactive,2022-09-22T03:29:34.956Z,109,"5100-S-Cornell-Ave,-Apt-704,-Chicago,-IL-60615",41.802179,-87.586769,1,,Apt 704,535,,
"5100 S Cornell Ave, Apt 1303, Chicago, IL 60615",5100 S Cornell Ave,Chicago,IL,60615,980,2022-09-10T03:25:21.377Z,2022-04-06T03:51:22.896Z,,Cook County,Apartment,2022-07-11T21:13:45.000Z,Inactive,2022-09-17T03:28:12.281Z,68,"5100-S-Cornell-Ave,-Apt-1303,-Chicago,-IL-60615",41.802179,-87.586769,1,,Apt 1303,425,,
"5135 S Blackstone Ave, Apt 309, Chicago, IL 60615",5135 S Blackstone Ave,Chicago,IL,60615,1308,2022-09-10T02:57:08.816Z,2022-04-13T03:34:12.828Z,,Cook County,Apartment,2022-09-08T22:02:47.000Z,Inactive,2022-09-17T03:28:12.281Z,9,"5135-S-Blackstone-Ave,-Apt-309,-Chicago,-IL-60615",41.801352,-87.590083,1,,Apt 309,310,,
"5105 S Harper Ave, Chicago, IL 60615",5105 S Harper Ave,Chicago,IL,60615,2795,2022-09-08T03:23:50.452Z,2019-07-26T21:52:07.388Z,,Cook County,Apartment,2022-04-01T14:17:18.000Z,Inactive,2022-09-15T03:28:22.874Z,167,"5105-S-Harper-Ave,-Chicago,-IL-60615",41.802295,-87.588143,1,3,,,2015,
"5100 S Cornell Ave, Chicago, IL 60615",5100 S Cornell Ave,Chicago,IL,60615,1003,2022-09-07T03:24:02.616Z,2019-11-07T10:07:16.116Z,,Cook County,Apartment,2021-09-16T23:39:33.000Z,Inactive,2022-09-14T03:28:09.920Z,363,"5100-S-Cornell-Ave,-Chicago,-IL-60615",41.802179,-87.586769,1,,,,1933,
"5135 S Blackstone Ave, Chicago, IL 60615",5135 S Blackstone Ave,Chicago,IL,60615,1065,2022-09-07T03:23:45.812Z,2019-11-07T10:07:15.125Z,,Cook County,Apartment,2021-09-16T23:39:33.000Z,Inactive,2022-09-14T03:28:09.920Z,363,"5135-S-Blackstone-Ave,-Chicago,-IL-60615",41.801352,-87.590083,1,,,,1930,
"5135 S Blackstone Ave, Apt 303, Chicago, IL 60615",5135 S Blackstone Ave,Chicago,IL,60615,1167,2022-08-22T03:16:08.827Z,2022-02-23T03:18:46.635Z,,Cook County,Apartment,2022-07-25T08:18:35.000Z,Inactive,2022-08-29T03:23:42.163Z,35,"5135-S-Blackstone-Ave,-Apt-303,-Chicago,-IL-60615",41.801351,-87.590083,1,,Apt 303,320,,
"5100 S Cornell Ave, Apt 1305, Chicago, IL 60615",5100 S Cornell Ave,Chicago,IL,60615,1063,2022-08-12T03:17:33.048Z,2022-05-09T03:17:30.062Z,,Cook County,Apartment,2022-07-10T21:17:48.000Z,Inactive,2022-08-19T03:23:06.977Z,40,"5100-S-Cornell-Ave,-Apt-1305,-Chicago,-IL-60615",41.802179,-87.586769,1,,Apt 1305,450,,
"5135 S Blackstone Ave, Apt 409, Chicago, IL 60615",5135 S Blackstone Ave,Chicago,IL,60615,1213,2022-08-12T03:09:58.952Z,2022-06-19T02:58:45.171Z,,Cook County,Apartment,2022-07-25T08:18:35.000Z,Inactive,2022-08-19T03:23:06.977Z,25,"5135-S-Blackstone-Ave,-Apt-409,-Chicago,-IL-60615",41.801352,-87.590083,1,,Apt 409,310,,
"5100 S Cornell Ave, Apt 703, Chicago, IL 60615",5100 S Cornell Ave,Chicago,IL,60615,1015,2022-08-11T03:16:53.040Z,2022-06-21T03:23:27.205Z,,Cook County,Apartment,2022-07-14T08:51:44.000Z,Inactive,2022-08-18T03:24:46.675Z,35,"5100-S-Cornell-Ave,-Apt-703,-Chicago,-IL-60615",41.802179,-87.586769,1,,Apt 703,425,,
"5135 S Blackstone Ave, Apt 400, Chicago, IL 60615",5135 S Blackstone Ave,Chicago,IL,60615,1355,2022-08-09T03:04:06.447Z,2022-07-13T03:37:28.559Z,,Cook County,Apartment,2022-07-25T08:18:35.000Z,Inactive,2022-08-16T03:22:30.619Z,22,"5135-S-Blackstone-Ave,-Apt-400,-Chicago,-IL-60615",41.801352,-87.590083,1,1,Apt 400,485,,
"5202 5210 S Cornell Ave, Chicago, IL 60615",5202 5210 S Cornell Ave,Chicago,IL,60615,1125,2022-08-06T09:15:42.069Z,2020-06-27T07:09:02.854Z,,Cook County,Single Family,2020-12-05T03:15:46.756Z,Inactive,2022-08-14T03:23:48.545Z,618,"5202-5210-S-Cornell-Ave,-Chicago,-IL-60615",41.80082,-87.586348,1,0,,,,
"5200 S Harper Ave, Apt 310, Chicago, IL 60615",5200 S Harper Ave,Chicago,IL,60615,950,2022-08-06T08:51:55.950Z,2020-07-25T04:42:26.450Z,,Cook County,Apartment,2022-07-06T02:17:52.848Z,Inactive,2022-08-14T03:23:48.545Z,40,"5200-S-Harper-Ave,-Apt-310,-Chicago,-IL-60615",41.800845,-87.589522,1,,Apt 310,450,,
"5206 S Harper, Unit 2B, Chicago, IL 60615",5206 S Harper,Chicago,IL,60615,850,2022-08-06T08:51:55.946Z,2020-07-03T05:09:10.805Z,,Cook County,Apartment,2022-05-08T03:45:48.185Z,Inactive,2022-08-14T03:23:48.545Z,98,"5206-S-Harper,-Unit-2B,-Chicago,-IL-60615",41.800187,-87.588388,1,,Unit 2B,450,,
"5134 5136 S Harper, Chicago, IL 60615",5134 5136 S Harper,Chicago,IL,60615,1375,2022-08-06T08:37:02.405Z,2020-07-16T07:24:26.039Z,,Cook County,Single Family,2021-06-28T03:07:21.199Z,Inactive,2022-08-14T03:23:48.545Z,413,"5134-5136-S-Harper,-Chicago,-IL-60615",41.80127,-87.589142,1,1,,,,
"5128 5132 S Cornell Ave, Chicago, IL 60615",5128 5132 S Cornell Ave,Chicago,IL,60615,1625,2022-08-06T08:37:02.380Z,2020-06-27T06:47:08.101Z,,Cook County,Single Family,2021-06-18T03:05:25.820Z,Inactive,2022-08-14T03:23:48.545Z,423,"5128-5132-S-Cornell-Ave,-Chicago,-IL-60615",41.801434,-87.586526,1,2,,,,
"1440 1450 East 52nd St, Chicago, IL 60637",1440 1450 East 52nd St,Chicago,IL,60637,1100,2022-08-06T08:25:33.436Z,2019-03-24T17:30:34.661Z,,Cook County,Single Family,2021-06-17T03:21:32.502Z,Inactive,2022-08-14T03:23:48.545Z,424,"1440-1450-East-52nd-St,-Chicago,-IL-60637",41.801001,-87.589881,1,1,,,,
"5200 S Harper Ave, Apt 107, Chicago, IL 60615",5200 S Harper Ave,Chicago,IL,60615,950,2022-08-06T08:02:49.995Z,2022-07-06T02:17:52.848Z,,Cook County,Single Family,2022-07-06T02:17:52.848Z,Inactive,2022-08-14T03:22:15.615Z,40,"5200-S-Harper-Ave,-Apt-107,-Chicago,-IL-60615",41.800845,-87.589523,1,,Apt 107,450,,
"5100 S Cornell Ave, Apt 603, Chicago, IL 60615",5100 S Cornell Ave,Chicago,IL,60615,1014,2022-07-28T03:41:45.212Z,2022-05-25T03:30:00.778Z,,Cook County,Apartment,2022-05-25T03:30:00.778Z,Inactive,2022-08-12T04:47:12.450Z,80,"5100-S-Cornell-Ave,-Apt-603,-Chicago,-IL-60615",41.802179,-87.586769,1,,Apt 603,425,,
"5252 S Cornell Ave, Apt 2501, Chicago, IL 60615",5252 S Cornell Ave,Chicago,IL,60615,4700,2022-07-28T03:11:35.553Z,2022-06-02T03:31:32.398Z,,Cook County,Apartment,2022-06-02T03:31:32.398Z,Inactive,2022-08-12T04:45:53.571Z,72,"5252-S-Cornell-Ave,-Apt-2501,-Chicago,-IL-60615",41.800035,-87.585865,2,2,Apt 2501,1276,,
"5252 S Cornell Ave, Apt 1309, Chicago, IL 60615",5252 S Cornell Ave,Chicago,IL,60615,4000,2022-07-28T03:11:35.550Z,2022-06-03T03:50:01.942Z,,Cook County,Apartment,2022-06-03T03:50:01.942Z,Inactive,2022-08-12T04:45:53.571Z,71,"5252-S-Cornell-Ave,-Apt-1309,-Chicago,-IL-60615",41.800035,-87.585865,2,2,Apt 1309,1142,,
"5252 S Cornell Ave, Apt 905, Chicago, IL 60615",5252 S Cornell Ave,Chicago,IL,60615,2550,2022-07-28T02:37:56.246Z,2022-05-18T03:10:04.090Z,,Cook County,Apartment,2022-05-18T03:10:04.090Z,Inactive,2022-08-12T04:43:01.322Z,87,"5252-S-Cornell-Ave,-Apt-905,-Chicago,-IL-60615",41.800035,-87.585865,1,1,Apt 905,654,,
"5135 S Blackstone Ave, Apt 307, Chicago, IL 60615",5135 S Blackstone Ave,Chicago,IL,60615,1135,2022-07-27T03:41:24.605Z,2022-07-15T03:52:03.301Z,,Cook County,Apartment,2022-07-15T03:52:03.301Z,Inactive,2022-08-12T04:40:10.035Z,29,"5135-S-Blackstone-Ave,-Apt-307,-Chicago,-IL-60615",41.801352,-87.590083,1,,Apt 307,310,,
"5105 S Harper Ave, Unit 914, Chicago, IL 60615",5105 S Harper Ave,Chicago,IL,60615,4152,2022-07-27T03:36:54.128Z,2022-06-30T03:38:28.206Z,,Cook County,Apartment,2022-06-30T03:38:28.206Z,Inactive,2022-08-12T04:40:10.035Z,44,"5105-S-Harper-Ave,-Unit-914,-Chicago,-IL-60615",41.801936,-87.588401,2,3,Unit 914,1265,,
"5105 S Harper Ave, Unit 515, Chicago, IL 60615",5105 S Harper Ave,Chicago,IL,60615,3800,2022-07-27T03:36:54.123Z,2022-07-22T03:39:51.980Z,,Cook County,Apartment,2022-07-22T03:39:51.980Z,Inactive,2022-08-12T04:40:10.035Z,22,"5105-S-Harper-Ave,-Unit-515,-Chicago,-IL-60615",41.801936,-87.588401,2,3,Unit 515,1480,,
"5105 S Harper Ave, Unit 1109, Chicago, IL 60615",5105 S Harper Ave,Chicago,IL,60615,2500,2022-07-27T03:35:15.352Z,2022-07-14T03:36:39.406Z,,Cook County,Apartment,2022-07-14T03:36:39.406Z,Inactive,2022-08-12T04:40:10.035Z,30,"5105-S-Harper-Ave,-Unit-1109,-Chicago,-IL-60615",41.801942,-87.5883,1,1,Unit 1109,771,,
"5105 S Harper Ave, Unit 408, Chicago, IL 60615",5105 S Harper Ave,Chicago,IL,60615,3565,2022-07-27T03:33:15.479Z,2022-07-04T02:56:46.481Z,,Cook County,Apartment,2022-07-04T02:56:46.481Z,Inactive,2022-08-12T04:40:10.035Z,40,"5105-S-Harper-Ave,-Unit-408,-Chicago,-IL-60615",41.801936,-87.588401,2,2,Unit 408,1179,,
